ID;time_start;time_end;email;time;Jêzyk;oswiadczenie;v1a;v1b;v1c;v2a;v2b;v2c;v3a;v3b;v3c;v4a;v4b;v4c;v5a;v5b;v5c;v6a;v6b;v6c;v7a;v7b;v7c;v8a;v8b;v8c;v9a;v9b;v9c;v10a;v10b;v10c;v11a;v11b;v11c;v12a;v12b;v12c;v13a;v13b;v13c;v14a;v14b;v14c;v15a;v15b;v15c;v16a;v16b;v16c;v17a;v17b;v17c;v18a;v18b;v18c;v19a;v19b;v19c;v20a;v20b;v20c;v21a;v21b;v21c;v22a;v22b;v22c;v23a;v23b;v23c;v24a;v24b;v24c;v25a;v25b;v25c;school;discipline;year;midterm;master;gender;age
64;14.11.2022;14.11.2022;anonymous;06:13;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;tak;raczej tak;zdecydo-wanie tak;nie;nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;raczej tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie nie;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;raczej tak;raczej tak;raczej tak;raczej nie;zdecydo-wanie nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;raczej tak;raczej tak;raczej tak;nie;zdecydo-wanie tak;tak;tak;Uniwersytet Miko³aja Kopernika w Toruniu;astronomia;4;Tak;astronomia;mê¿czyzna;26
65;14.11.2022;14.11.2022;anonymous;18:37;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;nie mam zdania;raczej tak;tak;raczej tak;tak;nie mam zdania;nie mam zdania;nie mam zdania;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;nie mam zdania;zdecydo-wanie tak;raczej tak;tak;zdecydo-wanie tak;tak;tak;tak;raczej tak;raczej tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;tak;raczej tak;tak;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej nie;raczej nie;nie mam zdania;tak;tak;tak;raczej tak;tak;raczej tak;tak;raczej tak;zdecydo-wanie tak;raczej tak;raczej tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;tak;tak;tak;tak;zdecydo-wanie tak;tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki fizyczne;2;Nie;Fizyka techniczna;kobieta;25
66;14.11.2022;14.11.2022;anonymous;39:25;English (United States)?;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;raczej tak;tak;tak;raczej tak;tak;tak;raczej nie;raczej nie;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;raczej tak;nie mam zdania;tak;tak;tak;raczej tak;tak;raczej nie;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;nie mam zdania;tak;raczej nie;raczej nie;raczej nie;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;nie mam zdania;zdecydo-wanie tak;raczej nie;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;tak;tak;raczej tak;tak;tak;raczej tak;nie mam zdania;tak;tak;tak;tak;raczej tak;tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o komunikacji spo³ecznej i mediach;3;Tak;Uniwersytet Miko³aja Kopernika w Toruniu ;mê¿czyzna;28
67;14.11.2022;14.11.2022;anonymous;07:28;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;nie mam zdania;raczej nie;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o komunikacji spo³ecznej i mediach;3;Tak;kulturoznawstwo ;kobieta;26
68;14.11.2022;14.11.2022;anonymous;50:36;English (United States)?;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;tak;tak;nie mam zdania;nie mam zdania;raczej tak;nie;nie;nie;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;raczej tak;zdecydo-wanie tak;nie;raczej nie;raczej nie;nie mam zdania;nie mam zdania;nie mam zdania;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;raczej tak;raczej nie;raczej tak;raczej tak;raczej tak;tak;zdecydo-wanie tak;tak;tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie mam zdania;raczej tak;raczej tak;tak;tak;tak;tak;tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;nie mam zdania;nie mam zdania;nie mam zdania;tak;raczej tak;raczej tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o Ziemi i œrodowisku;2;Nie;Civil Engineering;mê¿czyzna;36
69;14.11.2022;14.11.2022;anonymous;07:21;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej nie;raczej nie;raczej tak;tak;tak;tak;raczej tak;raczej tak;raczej nie;tak;zdecydo-wanie tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;tak;tak;tak;tak;raczej tak;tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;nie;raczej tak;raczej tak;raczej tak;raczej nie;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;tak;tak;tak;tak;tak;tak;tak;raczej tak;tak;raczej tak;raczej tak;tak;tak;tak;raczej tak;tak;tak;tak;tak;raczej tak;tak;raczej tak;tak;tak;raczej tak;tak;tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki farmaceutyczne;1;Nie;Farmacja;kobieta;28
70;14.11.2022;14.11.2022;anonymous;59:29;English (United States)?;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej nie;nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;nie mam zdania;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o Ziemi i œrodowisku;2;Nie;Geography;kobieta;28
71;14.11.2022;14.11.2022;anonymous;08:02;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;raczej tak;tak;raczej tak;raczej nie;tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;raczej tak;raczej nie;nie mam zdania;raczej nie;raczej nie;tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;raczej nie;raczej nie;nie;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;raczej nie;raczej nie;raczej nie;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie nie;raczej tak;zdecydo-wanie tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;tak;zdecydo-wanie tak;nie mam zdania;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;historia;1;Nie;Archiwistyka i Zarz¹dzanie Dokumentacj¹;mê¿czyzna;25
72;14.11.2022;14.11.2022;anonymous;09:21;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;raczej tak;raczej tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;jêzykoznawstwo;2;Nie;filologia polska i socjologia;kobieta;27
73;14.11.2022;14.11.2022;anonymous;07:09;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;zdecydo-wanie tak;tak;raczej nie;zdecydo-wanie tak;tak;raczej tak;tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej nie;raczej nie;zdecydo-wanie tak;raczej tak;raczej tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;nie;nie;tak;raczej nie;raczej nie;raczej nie;raczej nie;tak;tak;tak;tak;raczej nie;raczej tak;raczej tak;raczej nie;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;raczej nie;tak;zdecydo-wanie tak;zdecydo-wanie tak;raczej tak;zdecydo-wanie tak;raczej tak;raczej nie;zdecydo-wanie tak;tak;raczej tak;zdecydo-wanie tak;raczej tak;raczej nie;zdecydo-wanie tak;tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o kulturze i religii;1;Nie;kulturoznawstwo;kobieta;25
74;14.11.2022;14.11.2022;anonymous;17:55;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;tak;tak;tak;raczej tak;tak;raczej nie;nie;nie;tak;raczej nie;raczej tak;tak;tak;raczej tak;raczej tak;tak;tak;raczej tak;raczej tak;zdecydo-wanie tak;tak;tak;tak;raczej tak;tak;tak;raczej tak;nie mam zdania;raczej tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej tak;raczej nie;nie;nie;tak;tak;tak;tak;tak;tak;tak;nie mam zdania;raczej tak;tak;tak;tak;raczej tak;tak;tak;raczej tak;raczej tak;nie mam zdania;tak;tak;raczej tak;tak;nie mam zdania;tak;Uniwersytet Miko³aja Kopernika w Toruniu;literaturoznawstwo;4;Tak;filologia romañska;kobieta;28
75;14.11.2022;14.11.2022;anonymous;31:54;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;raczej tak;raczej tak;raczej tak;tak;raczej tak;tak;raczej nie;nie;nie mam zdania;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;raczej tak;raczej nie;raczej tak;raczej tak;raczej tak;tak;nie mam zdania;raczej tak;zdecydo-wanie tak;raczej nie;nie;raczej nie;nie mam zdania;nie mam zdania;raczej nie;zdecydo-wanie tak;tak;zdecydo-wanie tak;nie mam zdania;nie mam zdania;raczej tak;raczej nie;tak;tak;raczej tak;nie mam zdania;raczej tak;tak;tak;tak;tak;tak;tak;nie;nie;nie;raczej tak;raczej tak;tak;tak;tak;raczej tak;tak;raczej tak;tak;raczej tak;nie mam zdania;nie mam zdania;raczej tak;raczej tak;zdecydo-wanie tak;raczej tak;nie mam zdania;raczej tak;raczej tak;raczej tak;nie mam zdania;raczej tak;tak;raczej tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki o sztuce;3;Tak;konserwacja i restauracja dzie³ sztuki;kobieta;30
76;14.11.2022;14.11.2022;anonymous;07:03;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;tak;raczej tak;raczej tak;tak;tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;raczej nie;zdecydo-wanie tak;raczej tak;raczej tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;tak;tak;tak;tak;raczej tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;tak;raczej tak;tak;tak;raczej tak;tak;tak;tak;zdecydo-wanie tak;tak;tak;tak;tak;tak;tak;tak;tak;zdecydo-wanie tak;raczej tak;tak;tak;tak;tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;tak;tak;tak;tak;tak;tak;tak;tak;raczej tak;tak;tak;tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki biologiczne;2;Nie;Diagnostyka molekularna;kobieta;25
77;15.11.2022;15.11.2022;anonymous;09:36;Polski;Oœwiadczam, ¿e zosta³em/am poinformowany/a o celu badania, sposobie jego przeprowadzenia, dobrowolnoœci uczestnictwa, mo¿liwoœci odst¹pienia od udzia³u w badaniu w dowolnym czasie./Oœwiadczam, ¿e w pe³ni zrozumia³em/am przekazan¹ mi informacjê oraz otrzyma³em/am wyczerpuj¹ce i satysfakcjonuj¹ce mnie odpowiedzi na zadane pytania./Wyra¿am dobrowoln¹ œwiadom¹ zgodê? na udzia³ w badaniu naukowym polegaj¹cym na ocenie moich kompetencji informacyjnych jako Doktoranta/Doktorantki w Szkole Doktorskiej. /;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;tak;tak;raczej tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;zdecydo-wanie tak;Uniwersytet Miko³aja Kopernika w Toruniu;nauki teologiczne;3;Tak;teologia;mê¿czyzna;38
